Official Name State,Official Name Suburb,latitude,longitude
Victoria,Tower Hill,-38.32670379,142.3578442
Victoria,Trafalgar South,-38.2440501,146.1592735
Victoria,Upper Lurg,-36.58519531,146.1900064
Victoria,Wal Wal,-36.80985714,142.6211568
Victoria,Walpa,-37.79430317,147.3940634
Victoria,Wandella (Vic.),-35.7371702,143.8236381
Victoria,Wangoom,-38.33120705,142.5818785
Victoria,Waterways,-38.01475124,145.130491
Victoria,Waurn Ponds,-38.19830753,144.2785224
Victoria,Westmere,-37.67653922,142.967216
Victoria,Wheelers Hill,-37.90758021,145.1868442
Victoria,Wickliffe,-37.69726357,142.7136196
Victoria,Willatook,-38.15108977,142.2235447
Victoria,Winchelsea South,-38.32459316,143.9891593
Victoria,Windsor (Vic.),-37.85467543,144.9932064
Victoria,Wonga Park,-37.73559192,145.2698746
Victoria,Woodhouse,-37.80011608,142.4202429
Victoria,Woorndoo,-37.88125156,142.8144261
Victoria,Wroxham,-37.34155641,149.486102
Victoria,Wyuna (Vic.),-36.20647714,145.0672181
Victoria,Yeungroon,-36.39782027,143.3543631
Victoria,Yuulong,-38.72595111,143.308368
Queensland,Alsace,-23.28671417,149.297409
Queensland,Aramara,-25.60204463,152.3483864
Queensland,Arcturus,-23.98932274,148.3394829
Queensland,Avenell Heights,-24.88957462,152.3678908
Queensland,Bakers Creek (Qld),-21.21424358,149.1580511
Queensland,Bancroft,-24.79084658,151.2785894
Queensland,Beerwah,-26.85744171,152.9556158
Queensland,Belivah,-27.75820526,153.1749914
Queensland,Benair,-26.62799054,151.6951391
Queensland,Biddeston,-27.5556408,151.7326355
Queensland,Bindebango,-27.62384603,147.4344149
Queensland,Blackall,-24.58574138,145.4054341
Queensland,Blackbutt (Qld),-26.8846778,152.1042688
Queensland,Bony Mountain,-28.09420452,151.8408939
Queensland,Bray Park (Qld),-27.29241841,152.9678665
Queensland,Cainbable,-28.13894191,153.094028
Queensland,Camp Creek (Qld),-17.61856255,145.953561
Queensland,Cannindah,-24.87490555,151.2146239
Queensland,Cannon Hill,-27.47242362,153.0948309
Queensland,Carmila,-21.86465853,149.3705147
Queensland,Carpendale,-27.58699583,152.1525005
Queensland,Cement Mills,-28.37880979,151.5912493
Queensland,Centenary Heights,-27.58681964,151.9624882
Queensland,Chelona,-21.25808249,149.141665
Queensland,Cleveland (Qld),-27.53292085,153.2672718
Queensland,Columbia,-20.04972457,146.2814955
Queensland,Cooloolabin,-26.53779706,152.8996669
Queensland,Coonarr,-24.96996664,152.4723647
Queensland,Coral Sea,-18.21331337,147.6485134
Queensland,Cotherstone,-22.78655796,148.2811321
Queensland,Coulson,-27.9624527,152.7392251
Queensland,Cow Bay,-16.22342771,145.4355022
Queensland,Currajong,-19.27555898,146.7794481
Queensland,Curtis Island,-23.61182691,151.1511163
Queensland,Dalcouth,-28.66064158,151.9892625
Queensland,Deception Bay,-27.18266819,153.0164352
Queensland,Deeragun,-19.25063702,146.6685424
Queensland,Degilbo,-25.4777453,151.9826334
Queensland,Downsfield,-26.049659,152.7267805
Queensland,Duaringa,-23.68437452,149.6793235
Queensland,East Russell,-17.28959786,145.9698275
Queensland,Edge Hill,-16.9006885,145.7427928
Queensland,Fairdale,-26.26938562,151.7673981
Queensland,Fielding,-18.83250138,141.2906105
Queensland,Fleurbaix,-28.52774402,151.915338
Queensland,Forest Springs,-27.99372455,152.0769651
Queensland,Garradunga,-17.45747118,146.0023912
Queensland,Glen Russell,-16.9220009,145.1837487
Queensland,Goolman,-27.73624794,152.7679432
Queensland,Grandchester,-27.67613088,152.4536602
Queensland,Groganville,-16.40004198,144.3623194
Queensland,Groper Creek,-19.70154498,147.561965
Queensland,Guluguba,-26.25947569,150.090473
Queensland,Heatley,-19.29033581,146.7535536
Queensland,Hodgson,-26.5602483,148.6306031
Queensland,Horseshoe Lagoon,-19.56474915,147.1408026
Queensland,Hyde Park (Qld),-19.27689707,146.7965295
Queensland,Jindalee (Qld),-27.53447073,152.9384713
Queensland,Johnstown,-26.41412011,152.108129
Queensland,Kapaldo,-25.06598921,151.1437422
